date,open,high,low,close,volume
04/05/1978,3.9245,3.9245,3.8757,3.9151,58880
05/05/1978,3.9226,3.9733,3.9226,3.9433,22928
08/05/1978,3.9433,3.9583,3.8907,3.9001,17121
09/05/1978,3.9,3.9113,3.8831,3.9094,19207
10/05/1978,3.9094,3.9188,3.8906,3.9019,18704
11/05/1978,3.902,3.9846,3.8963,3.9846,21445
12/05/1978,3.9845,3.9996,3.9432,3.9451,28962
15/05/1978,3.9451,3.9995,3.9245,3.9958,26624
16/05/1978,3.9977,4.0334,3.9977,4.0146,57170
17/05/1978,4.0146,4.0202,3.9808,3.9958,53423
18/05/1978,3.9958,3.9996,3.9733,3.9733,25291
19/05/1978,3.9733,3.9752,3.9207,3.9376,25115
22/05/1978,3.9376,4.0071,3.9358,4.0071,21018
23/05/1978,3.9958,3.9958,3.9432,3.9526,20992
24/05/1978,3.9433,3.9433,3.9057,3.9433,19484
25/05/1978,3.9433,3.9658,3.9132,3.9245,18705
26/05/1978,3.9245,3.9339,3.9132,3.917,18981
30/05/1978,3.917,3.932,3.9038,3.9226,19962
31/05/1978,3.9226,3.9414,3.8794,3.8794,20314
01/06/1978,3.8794,3.8982,3.8456,3.8625,37284
02/06/1978,3.8625,3.917,3.8588,3.917,17397
05/06/1978,3.9169,3.9958,3.9131,3.9939,29037
06/06/1978,3.9958,4.0334,3.9958,3.9958,36303
07/06/1978,3.9959,4.0052,3.9733,3.9846,35926
08/06/1978,3.9846,4.0522,3.9808,4.0259,43846
09/06/1978,4.0259,4.0559,4.0146,4.0409,32683
12/06/1978,4.0409,4.0766,4.0184,4.024,27529
13/06/1978,4.007,4.1197,4.007,4.1197,20540
14/06/1978,4.1197,4.1498,4.0709,4.0728,49276
15/06/1978,4.0728,4.0935,4.0409,4.0559,18981
16/06/1978,4.0559,4.0653,3.9959,3.9996,23155
19/06/1978,3.9995,4.0559,3.992,4.0446,21218
20/06/1978,4.0446,4.0521,3.9883,3.9939,22174
21/06/1978,3.994,4.0296,3.9827,4.0259,23959
22/06/1978,4.0109,4.0109,3.9846,4.0015,23909
23/06/1978,4.0015,4.0034,3.9395,3.9433,21898
26/06/1978,3.9433,3.9433,3.8719,3.8794,22903
27/06/1978,3.8794,3.9357,3.8794,3.9188,26548
28/06/1978,3.9189,3.9339,3.8832,3.932,21370
29/06/1978,3.932,3.9395,3.8907,3.9001,17196
30/06/1978,3.9001,3.9095,3.8644,3.8644,11439
03/07/1978,3.8644,3.8682,3.8306,3.8569,10031
05/07/1978,3.8569,3.8982,3.8344,3.8757,25744
06/07/1978,3.8757,3.8907,3.855,3.8813,20062
07/07/1978,3.8813,3.9151,3.8719,3.9132,12822
10/07/1978,3.9132,3.9188,3.8869,3.9057,15110
11/07/1978,3.9057,3.9169,3.8869,3.8869,28384
12/07/1978,3.8869,3.9019,3.8813,3.8813,17573
13/07/1978,3.8813,3.8982,3.855,3.8963,15562
14/07/1978,3.8963,4.0221,3.8963,4.0184,42865
17/07/1978,4.0183,4.0578,3.9958,3.9958,60639
18/07/1978,3.9958,4.009,3.9658,3.9733,29415
